id	GeneSymbol	logFC	logCPM	PValue	FDR
ENSG00000182585.8	EPGN	10.45952042	4.611553003	8.63E-20	1.74E-16
ENSG00000103067.10	ESRP2	6.66439074	5.575880216	9.36E-20	1.83E-16
ENSG00000166145.13	SPINT1	8.052311706	6.883148641	1.39E-19	2.62E-16
ENSG00000264230.6	ANXA8L1	8.230752241	6.994551324	1.48E-19	2.71E-16
ENSG00000175707.8	KDF1	7.977814689	3.662554819	1.78E-19	3.18E-16
ENSG00000147676.12	MAL2	7.820873142	5.905997005	1.85E-19	3.20E-16
ENSG00000052344.14	PRSS8	9.781014316	5.889174138	2.65E-19	4.45E-16
ENSG00000137857.16	DUOX1	7.856818758	6.105415129	2.96E-19	4.84E-16
ENSG00000125730.15	C3	7.537166305	8.398488635	5.82E-19	9.27E-16
ENSG00000182795.12	C1orf116	8.853540527	6.694805475	2.17E-18	3.36E-15
ENSG00000138271.5	GPR87	8.47401538	4.677110153	2.74E-17	4.15E-14
ENSG00000158055.14	GRHL3	7.999321532	3.698210366	8.52E-17	1.26E-13
ENSG00000132470.12	ITGB4	8.43856949	10.14759865	1.28E-16	1.85E-13
ENSG00000168918.12	INPP5D	10.07403595	6.207348896	1.31E-16	1.85E-13
ENSG00000196754.9	S100A2	6.377455039	9.987828456	2.27E-16	3.11E-13
ENSG00000173801.15	JUP	5.871104812	9.236153539	3.21E-16	4.31E-13
ENSG00000053747.14	LAMA3	7.212632404	8.892728639	3.99E-16	5.24E-13
ENSG00000163220.10	S100A9	8.343820547	7.015409302	4.14E-16	5.33E-13
ENSG00000144452.13	ABCA12	8.434747057	4.562985908	6.62E-16	8.34E-13
ENSG00000174564.11	IL20RB	5.904180548	5.97889639	9.51E-16	1.17E-12
ENSG00000203837.4	PNLIPRP3	11.96496665	3.941458506	2.28E-15	2.76E-12
ENSG00000171346.12	KRT15	9.095240311	9.116020212	4.02E-15	4.77E-12
ENSG00000057149.13	SERPINB3	9.168653718	2.269374837	4.88E-15	5.68E-12
ENSG00000130598.14	TNNI2	11.62354649	4.728191831	5.26E-15	6.00E-12
ENSG00000129194.6	SOX15	6.231346351	5.435404015	7.49E-15	8.39E-12
ENSG00000148344.10	PTGES	6.849805428	8.225000646	8.51E-15	9.36E-12
ENSG00000176092.12	CRYBG2	7.097980488	4.200395261	8.91E-15	9.62E-12
ENSG00000109906.12	ZBTB16	7.445183389	3.293591541	1.95E-14	2.07E-11
ENSG00000065618.15	COL17A1	9.363061804	9.580698889	2.08E-14	2.17E-11
ENSG00000231131.5	LINC01468	8.277570113	1.418141965	2.30E-14	2.36E-11
ENSG00000135373.11	EHF	8.97511392	4.234597473	2.74E-14	2.76E-11
ENSG00000179593.14	ALOX15B	13.01499397	6.099040919	4.50E-14	4.46E-11
ENSG00000146904.7	EPHA1	5.676023183	3.887405108	6.81E-14	6.64E-11
ENSG00000134757.4	DSG3	8.107464098	7.671723123	2.20E-13	2.11E-10
ENSG00000039068.17	CDH1	7.781181296	7.103982664	2.28E-13	2.15E-10
ENSG00000109321.9	AREG	8.791133032	7.52165093	3.55E-13	3.30E-10
ENSG00000058085.13	LAMC2	7.084469039	10.12911087	3.93E-13	3.60E-10
ENSG00000109667.10	SLC2A9	7.928153173	3.39437069	5.13E-13	4.63E-10
ENSG00000137843.10	PAK6	6.878286861	4.200922761	5.64E-13	5.02E-10
ENSG00000106278.10	PTPRZ1	11.00589404	2.985922504	6.06E-13	5.31E-10
ENSG00000115221.9	ITGB6	7.487997355	5.368293546	6.89E-13	5.90E-10
ENSG00000182253.13	SYNM	-5.993157825	4.99992397	6.92E-13	5.90E-10
ENSG00000125538.10	IL1B	7.20772479	4.261586245	7.20E-13	6.05E-10
ENSG00000131080.13	EDA2R	6.140692418	2.45642716	8.17E-13	6.77E-10
ENSG00000133477.15	FAM83F	8.580534167	5.23305126	1.05E-12	8.62E-10
ENSG00000272398.4	CD24	6.394379188	7.39313567	1.33E-12	1.07E-09
ENSG00000134339.7	SAA2	10.30472247	4.057085316	1.41E-12	1.12E-09
ENSG00000081277.10	PKP1	10.99382456	8.227161659	1.67E-12	1.31E-09
ENSG00000163207.6	IVL	10.22858233	4.35143288	1.79E-12	1.39E-09
ENSG00000159388.5	BTG2	5.368366771	5.274591382	3.20E-12	2.45E-09
ENSG00000130545.14	CRB3	6.788618828	2.917329004	3.54E-12	2.68E-09
ENSG00000091129.18	NRCAM	6.80010522	3.894280058	6.78E-12	5.06E-09
ENSG00000065357.18	DGKA	4.027026979	6.525508198	7.38E-12	5.44E-09
ENSG00000184731.5	FAM110C	6.682209606	2.616498786	7.86E-12	5.73E-09
ENSG00000143341.10	HMCN1	-8.082214078	4.935722243	8.41E-12	6.06E-09
ENSG00000132821.10	VSTM2L	5.837068393	6.057968995	8.94E-12	6.36E-09
ENSG00000155066.14	PROM2	7.483796635	6.499334006	1.17E-11	8.23E-09
ENSG00000125850.9	OVOL2	7.542651817	2.990703718	1.29E-11	8.95E-09
ENSG00000085552.15	IGSF9	5.50481533	4.382317614	1.32E-11	9.07E-09
ENSG00000184792.14	OSBP2	4.605049496	6.020278973	1.49E-11	1.01E-08
ENSG00000132698.12	RAB25	8.643635746	4.720586866	1.58E-11	1.06E-08
ENSG00000143217.8	NECTIN4	7.552796402	3.962761918	2.02E-11	1.34E-08
ENSG00000185101.11	ANO9	5.841652435	4.391508144	2.03E-11	1.34E-08
ENSG00000198795.9	ZNF521	-9.799751737	3.56116735	2.34E-11	1.52E-08
ENSG00000196867.6	ZFP28	-9.586378151	1.87560243	2.47E-11	1.59E-08
ENSG00000164176.11	EDIL3	-8.613129296	5.973980277	3.26E-11	2.08E-08
ENSG00000197937.11	ZNF347	-7.335649606	2.740678083	3.36E-11	2.11E-08
ENSG00000109193.9	SULT1E1	11.24017352	3.224926259	3.71E-11	2.31E-08
ENSG00000125775.13	SDCBP2	5.111182664	5.1389193	3.81E-11	2.35E-08
ENSG00000006555.9	TTC22	6.524820152	2.581031565	4.08E-11	2.49E-08
ENSG00000169403.10	PTAFR	4.954414833	3.933649861	4.12E-11	2.49E-08
ENSG00000148346.10	LCN2	8.978299444	5.203345996	4.19E-11	2.51E-08
ENSG00000120162.9	MOB3B	6.48907079	4.343125093	4.39E-11	2.59E-08
ENSG00000167656.4	LY6D	11.36128299	3.3283284	4.41E-11	2.59E-08
ENSG00000166589.11	CDH16	10.7556792	2.743754896	5.23E-11	3.01E-08
ENSG00000261183.4	SPINT1-AS1	6.451805523	1.446372701	5.19E-11	3.01E-08
ENSG00000185686.16	PRAME	-12.19759302	4.435933522	6.50E-11	3.71E-08
ENSG00000092295.10	TGM1	5.969918559	5.480857615	6.78E-11	3.83E-08
ENSG00000110400.9	NECTIN1	3.718637626	7.525219129	6.89E-11	3.86E-08
ENSG00000127507.16	ADGRE2	6.618835313	3.896956586	7.11E-11	3.94E-08
ENSG00000140254.11	DUOXA1	8.107931291	2.921307108	7.77E-11	4.27E-08
ENSG00000069812.10	HES2	5.790224637	5.616311321	7.87E-11	4.27E-08
ENSG00000179455.7	MKRN3	-9.011090663	1.328088976	7.91E-11	4.27E-08
ENSG00000102854.13	MSLN	9.014738398	6.017566167	8.53E-11	4.56E-08
ENSG00000100290.2	BIK	5.945485246	1.939283734	8.92E-11	4.73E-08
ENSG00000176532.3	PRR15	7.005642579	2.225774291	9.51E-11	5.00E-08
ENSG00000121552.3	CSTA	7.899259345	5.498929354	1.35E-10	7.04E-08
ENSG00000153956.14	CACNA2D1	-10.13785055	2.407476295	1.47E-10	7.60E-08
ENSG00000140832.8	MARVELD3	5.427499822	2.603799321	1.58E-10	8.12E-08
ENSG00000164692.16	COL1A2	-12.11632171	10.14262303	1.81E-10	9.21E-08
ENSG00000102890.13	ELMO3	4.470617351	5.430028859	2.06E-10	1.04E-07
ENSG00000047936.9	ROS1	6.870401366	4.275029291	2.70E-10	1.35E-07
ENSG00000073282.11	TP63	7.250996041	5.419191443	3.33E-10	1.65E-07
ENSG00000119986.6	AVPI1	4.16031686	5.994075969	3.47E-10	1.71E-07
ENSG00000134259.3	NGF	-8.379423005	2.84710666	3.76E-10	1.84E-07
ENSG00000163071.9	SPATA18	7.426787507	3.142938652	3.84E-10	1.86E-07
ENSG00000167754.11	KLK5	10.48290787	6.739612941	3.94E-10	1.89E-07
ENSG00000107738.18	VSIR	4.953602309	5.589021354	4.12E-10	1.96E-07
ENSG00000186831.10	KRT17P2	8.119771431	0.219566844	4.19E-10	1.98E-07
ENSG00000054179.10	ENTPD2	6.709966142	1.780814077	4.76E-10	2.23E-07
ENSG00000253313.4	C1orf210	5.962060075	1.307247261	4.94E-10	2.30E-07
ENSG00000142765.16	SYTL1	4.685362451	4.947875804	5.68E-10	2.62E-07
ENSG00000169035.10	KLK7	13.28552791	6.373384855	5.72E-10	2.62E-07
ENSG00000124102.4	PI3	8.684944987	6.481453155	5.96E-10	2.71E-07
ENSG00000100003.16	SEC14L2	3.417302172	7.023065608	6.44E-10	2.91E-07
ENSG00000104892.15	KLC3	5.48249373	4.067217314	6.71E-10	3.01E-07
ENSG00000117472.8	TSPAN1	5.537756482	5.009511454	7.00E-10	3.11E-07
ENSG00000151025.9	GPR158	-9.514401326	1.807199651	7.74E-10	3.42E-07
ENSG00000280693.1	SH3PXD2A-AS1	6.661674458	1.497473907	8.58E-10	3.76E-07
ENSG00000268621.4	IGFL2-AS1	8.424932508	2.585137182	9.45E-10	4.11E-07
ENSG00000163202.4	LCE3D	9.073425687	1.09325918	9.63E-10	4.16E-07
ENSG00000135127.10	BICDL1	4.772713534	3.467204081	9.80E-10	4.21E-07
ENSG00000162390.16	ACOT11	3.724803349	4.049867949	1.17E-09	5.00E-07
ENSG00000143556.7	S100A7	12.76384798	4.735359185	1.24E-09	5.25E-07
ENSG00000143382.12	ADAMTSL4	5.127895976	5.142357711	1.26E-09	5.28E-07
ENSG00000165799.4	RNASE7	7.560841649	1.736990143	1.34E-09	5.59E-07
ENSG00000197641.10	SERPINB13	11.08518575	4.16467064	1.37E-09	5.66E-07
ENSG00000153294.10	ADGRF4	7.637937186	3.41062241	1.43E-09	5.89E-07
ENSG00000162733.15	DDR2	-7.205150904	6.530826083	1.50E-09	6.14E-07
ENSG00000149573.7	MPZL2	7.398819048	4.971892087	1.64E-09	6.68E-07
ENSG00000203785.7	SPRR2E	9.924677373	1.913558798	1.77E-09	7.13E-07
ENSG00000163435.14	ELF3	5.760336427	4.041862049	1.87E-09	7.49E-07
ENSG00000163362.9	C1orf106	4.281233667	5.37738604	2.03E-09	8.08E-07
ENSG00000204949.7	FAM83A-AS1	7.252527987	1.431360052	2.07E-09	8.17E-07
ENSG00000135378.3	PRRG4	5.138042073	3.908786299	2.18E-09	8.57E-07
ENSG00000178826.9	TMEM139	5.243868925	3.410760659	2.42E-09	9.43E-07
ENSG00000251095.5	AC097478.1	8.67057886	2.396349274	2.70E-09	1.05E-06
ENSG00000108342.11	CSF3	8.351648601	4.715789052	2.84E-09	1.09E-06
ENSG00000188100.8	FAM25A	8.221947459	0.301938503	2.82E-09	1.09E-06
ENSG00000276850.3	AC245041.3	5.774817723	4.108438791	2.88E-09	1.10E-06
ENSG00000102554.12	KLF5	3.946036707	6.535438153	3.43E-09	1.30E-06
ENSG00000124466.8	LYPD3	5.775435122	6.926873399	3.72E-09	1.40E-06
ENSG00000186204.13	CYP4F12	7.121505381	1.315796086	3.75E-09	1.40E-06
ENSG00000070731.8	ST6GALNAC2	5.633719131	5.005729458	3.83E-09	1.41E-06
ENSG00000105894.10	PTN	-10.45705797	2.719067295	3.86E-09	1.41E-06
ENSG00000142675.16	CNKSR1	5.021273942	4.649348969	3.85E-09	1.41E-06
ENSG00000179674.3	ARL14	6.928115167	0.68953386	3.82E-09	1.41E-06
ENSG00000172548.13	NIPAL4	7.547091746	3.5648062	4.96E-09	1.80E-06
ENSG00000257084.1	MIR200CHG	8.367408221	0.458102022	5.26E-09	1.89E-06
ENSG00000076826.8	CAMSAP3	5.225284991	4.029821495	5.37E-09	1.92E-06
ENSG00000165591.6	FAAH2	6.497196231	0.302139767	5.49E-09	1.94E-06
ENSG00000235750.8	KIAA0040	5.816864763	4.892489832	5.47E-09	1.94E-06
ENSG00000104833.9	TUBB4A	-9.84084089	2.117786168	5.58E-09	1.96E-06
ENSG00000049283.16	EPN3	7.22443782	3.543874608	5.85E-09	2.05E-06
ENSG00000271447.4	MMP28	7.552269755	5.188874689	5.91E-09	2.05E-06
ENSG00000163810.10	TGM4	4.740796038	1.155891881	6.40E-09	2.21E-06
ENSG00000162366.6	PDZK1IP1	8.206159107	3.759521737	7.59E-09	2.61E-06
ENSG00000152977.8	ZIC1	-10.2125257	2.479250958	7.96E-09	2.72E-06
ENSG00000165025.13	SYK	7.878170581	2.964775544	8.19E-09	2.78E-06
ENSG00000189433.5	GJB4	6.273383813	0.518358218	8.61E-09	2.91E-06
ENSG00000197565.14	COL4A6	5.188582151	5.643331617	8.87E-09	2.98E-06
ENSG00000157992.11	KRTCAP3	5.742819664	3.523509444	1.08E-08	3.62E-06
ENSG00000157514.15	TSC22D3	3.993416935	6.62441099	1.09E-08	3.63E-06
ENSG00000133710.14	SPINK5	7.750462925	1.552250065	1.11E-08	3.67E-06
ENSG00000070190.11	DAPP1	5.834003118	2.198314914	1.18E-08	3.87E-06
ENSG00000128591.14	FLNC	-6.957889629	7.87866423	1.22E-08	3.98E-06
ENSG00000171401.13	KRT13	9.487673479	3.130268992	1.22E-08	3.98E-06
ENSG00000265752.2	AC010754.1	6.357930224	-0.376408801	1.30E-08	4.21E-06
ENSG00000204262.10	COL5A2	-7.580005102	8.53650235	1.33E-08	4.28E-06
ENSG00000184254.15	ALDH1A3	5.140079876	6.80079142	1.49E-08	4.78E-06
ENSG00000184916.7	JAG2	4.917635913	6.702316683	1.50E-08	4.79E-06
ENSG00000170465.9	KRT6C	8.949989196	6.425998548	1.57E-08	4.97E-06
ENSG00000114541.13	FRMD4B	5.092113005	3.962459901	1.62E-08	5.10E-06
ENSG00000149300.8	C11orf52	6.22625787	0.631563965	1.63E-08	5.10E-06
ENSG00000241794.1	SPRR2A	10.98490738	2.967424272	1.67E-08	5.22E-06
ENSG00000153404.12	PLEKHG4B	-9.140775476	3.794384928	1.76E-08	5.46E-06
ENSG00000181007.8	ZFP82	-6.257268335	2.631952841	1.84E-08	5.66E-06
ENSG00000120899.16	PTK2B	4.525432214	5.924899747	2.00E-08	6.13E-06
ENSG00000261068.2	AL512274.1	6.751849759	1.645360299	2.10E-08	6.43E-06
ENSG00000131885.15	KRT17P1	6.324858216	0.176345254	2.20E-08	6.69E-06
ENSG00000186081.10	KRT5	8.44530267	12.17575859	2.24E-08	6.78E-06
ENSG00000124731.11	TREM1	8.154560688	1.821181405	2.31E-08	6.94E-06
ENSG00000020181.16	ADGRA2	-5.967306068	3.318668547	2.71E-08	8.12E-06
ENSG00000188505.4	NCCRP1	8.227280034	2.622557359	2.89E-08	8.62E-06
ENSG00000234546.2	LINC01759	6.652151304	-0.120249205	2.95E-08	8.75E-06
ENSG00000091622.14	PITPNM3	3.567904223	5.128716518	2.99E-08	8.80E-06
ENSG00000165617.13	DACT1	-10.06374274	2.334674408	3.00E-08	8.80E-06
ENSG00000074410.12	CA12	3.435875558	6.808050836	3.54E-08	1.02E-05
ENSG00000083307.9	GRHL2	7.388859171	4.372132473	3.54E-08	1.02E-05
ENSG00000086548.8	CEACAM6	7.408097963	3.150119928	3.48E-08	1.02E-05
ENSG00000129455.14	KLK8	11.29290603	5.125152279	3.51E-08	1.02E-05
ENSG00000156103.14	MMP16	-6.723761226	4.059294278	3.54E-08	1.02E-05
ENSG00000001617.10	SEMA3F	3.887596967	6.427498357	3.57E-08	1.02E-05
ENSG00000078114.17	NEBL	5.257574092	3.458335931	3.85E-08	1.09E-05
ENSG00000144218.17	AFF3	-6.975705641	2.872891213	4.25E-08	1.20E-05
ENSG00000172572.6	PDE3A	-9.353772737	1.655336367	4.26E-08	1.20E-05
ENSG00000135525.17	MAP7	5.356657868	3.548961899	4.30E-08	1.20E-05
ENSG00000189221.8	MAOA	6.142676222	5.88137849	4.32E-08	1.20E-05
ENSG00000090776.5	EFNB1	3.384994255	6.514238638	4.40E-08	1.22E-05
ENSG00000161249.19	DMKN	5.719649533	6.488603812	4.45E-08	1.23E-05
ENSG00000154864.10	PIEZO2	-11.45967444	3.704888907	4.54E-08	1.25E-05
ENSG00000140937.12	CDH11	-7.402838093	6.434619178	4.60E-08	1.26E-05
ENSG00000186832.7	KRT16	7.71384456	8.560344598	4.75E-08	1.29E-05
ENSG00000164050.11	PLXNB1	3.712162582	6.736930795	4.91E-08	1.33E-05
ENSG00000163209.13	SPRR3	11.16268313	3.127934676	5.00E-08	1.35E-05
ENSG00000188293.5	IGFL1	7.860932381	2.812746034	5.54E-08	1.49E-05
ENSG00000171219.8	CDC42BPG	5.024295848	4.5657683	5.69E-08	1.52E-05
ENSG00000167755.12	KLK6	8.569660519	2.172009817	6.03E-08	1.61E-05
ENSG00000163993.6	S100P	7.091364881	5.690681874	6.23E-08	1.65E-05
ENSG00000133019.10	CHRM3	-7.983642182	2.408017988	6.45E-08	1.70E-05
ENSG00000135821.15	GLUL	4.862907849	8.587884689	6.48E-08	1.70E-05
ENSG00000014216.14	CAPN1	2.524387424	8.591903779	6.60E-08	1.73E-05
ENSG00000225950.6	NTF4	5.238665683	2.328748905	6.88E-08	1.79E-05
ENSG00000180638.16	SLC47A2	7.497929459	4.012691015	7.22E-08	1.87E-05
ENSG00000185432.11	METTL7A	5.440681681	4.409699488	7.29E-08	1.89E-05
ENSG00000171951.4	SCG2	-9.317405596	5.958217737	7.88E-08	2.03E-05
ENSG00000123892.10	RAB38	5.66208389	3.911564995	7.96E-08	2.03E-05
ENSG00000163216.6	SPRR2D	8.266124589	2.091741349	7.96E-08	2.03E-05
ENSG00000145242.12	EPHA5	-8.843047164	3.441398005	8.03E-08	2.04E-05
ENSG00000126460.9	PRRG2	3.809639245	2.070166435	8.40E-08	2.13E-05
ENSG00000164825.3	DEFB1	10.28905615	2.284908646	8.59E-08	2.17E-05
ENSG00000105855.8	ITGB8	4.303406235	4.450670219	8.72E-08	2.19E-05
ENSG00000101311.14	FERMT1	4.080180568	7.078562354	9.22E-08	2.30E-05
ENSG00000169435.12	RASSF6	5.738506508	2.579482916	9.37E-08	2.33E-05
ENSG00000067445.19	TRO	-9.427905102	4.392222748	9.83E-08	2.44E-05
ENSG00000152939.13	MARVELD2	3.425846208	3.999786414	9.96E-08	2.46E-05
ENSG00000178038.15	ALS2CL	5.462683803	7.166362933	1.02E-07	2.50E-05
ENSG00000204580.10	DDR1	3.036727666	7.766739112	1.02E-07	2.50E-05
ENSG00000149527.16	PLCH2	6.597773409	5.726486847	1.05E-07	2.56E-05
ENSG00000124107.5	SLPI	6.692089468	7.546529022	1.06E-07	2.58E-05
ENSG00000152402.9	GUCY1A2	-8.954117611	1.277207132	1.37E-07	3.32E-05
ENSG00000162981.13	FAM84A	6.906002049	4.117173394	1.41E-07	3.40E-05
ENSG00000153208.15	MERTK	-7.201909357	1.812595424	1.43E-07	3.44E-05
ENSG00000132854.17	KANK4	5.940238806	3.057598411	1.49E-07	3.56E-05
ENSG00000151067.19	CACNA1C	-6.866150566	3.790479797	1.51E-07	3.58E-05
ENSG00000250510.6	GPR162	-6.73075811	1.693217594	1.51E-07	3.58E-05
ENSG00000079385.20	CEACAM1	5.867246989	3.073561429	1.53E-07	3.62E-05
ENSG00000115112.7	TFCP2L1	5.544302148	6.667641718	1.54E-07	3.62E-05
ENSG00000088002.10	SULT2B1	6.308822351	2.673075926	1.57E-07	3.68E-05
ENSG00000170390.13	DCLK2	-5.047607511	3.612015647	1.75E-07	4.09E-05
ENSG00000069020.17	MAST4	4.286603702	5.213102201	1.80E-07	4.15E-05
ENSG00000100033.15	PRODH	6.375754024	4.115127548	1.79E-07	4.15E-05
ENSG00000165905.15	LARGE2	6.574250332	3.581951133	1.79E-07	4.15E-05
ENSG00000104055.13	TGM5	5.831410162	0.635445451	1.82E-07	4.18E-05
ENSG00000206075.12	SERPINB5	7.323098676	7.752346188	1.85E-07	4.25E-05
ENSG00000154102.9	C16orf74	4.251803528	4.441209073	1.90E-07	4.33E-05
ENSG00000099864.16	PALM	-6.06968992	3.099475507	1.93E-07	4.38E-05
ENSG00000178363.4	CALML3	11.60093515	6.733675684	2.02E-07	4.57E-05
ENSG00000175920.14	DOK7	5.873440481	1.732549083	2.05E-07	4.64E-05
ENSG00000260401.1	AP002761.4	5.819788742	3.245251897	2.12E-07	4.77E-05
ENSG00000198796.6	ALPK2	-7.898655718	5.120878347	2.18E-07	4.88E-05
ENSG00000154764.5	WNT7A	5.752236996	2.376040511	2.19E-07	4.89E-05
ENSG00000136689.17	IL1RN	7.921094055	4.774410184	2.35E-07	5.23E-05
ENSG00000241484.8	ARHGAP8	5.289332916	3.673383937	2.41E-07	5.33E-05
ENSG00000273760.1	AC245041.2	5.12854149	3.365489002	2.51E-07	5.54E-05
ENSG00000154545.15	MAGED4	-10.28294763	2.544914262	2.53E-07	5.56E-05
ENSG00000169474.4	SPRR1A	9.766494879	1.739711077	2.59E-07	5.67E-05
ENSG00000073737.15	DHRS9	7.083114059	3.024863115	2.70E-07	5.90E-05
ENSG00000186212.3	SOWAHB	6.117337105	1.379670125	2.85E-07	6.20E-05
ENSG00000172818.8	OVOL1	6.333420317	0.857862381	2.88E-07	6.24E-05
ENSG00000281508.1	CDR1	-10.03126649	2.305386061	2.92E-07	6.31E-05
ENSG00000197249.11	SERPINA1	5.293135769	3.76480532	2.94E-07	6.33E-05
ENSG00000178172.5	SPINK6	8.277011929	2.013918952	2.99E-07	6.40E-05
ENSG00000168542.11	COL3A1	-11.63059802	8.621387367	3.02E-07	6.45E-05
ENSG00000133328.3	HRASLS2	7.401554538	1.660026047	3.06E-07	6.52E-05
ENSG00000091409.13	ITGA6	2.95299306	8.084285703	3.24E-07	6.88E-05
ENSG00000162723.8	SLAMF9	6.823988199	1.045105745	3.26E-07	6.89E-05
ENSG00000237512.5	UNC5B-AS1	6.287373031	-0.321989755	3.32E-07	6.99E-05
ENSG00000102243.11	VGLL1	8.983538765	2.100776753	3.50E-07	7.34E-05
ENSG00000226887.6	ERVMER34-1	5.295930073	3.716572306	3.60E-07	7.53E-05
ENSG00000115884.9	SDC1	2.851049042	8.721698287	3.65E-07	7.61E-05
ENSG00000213412.3	HNRNPA1P33	4.607497265	2.947780067	3.74E-07	7.78E-05
ENSG00000136002.15	ARHGEF4	4.978267258	5.533583909	3.91E-07	8.10E-05
ENSG00000132274.14	TRIM22	4.714088034	4.604731653	4.09E-07	8.45E-05
ENSG00000165887.10	ANKRD2	5.690990167	1.662156319	4.32E-07	8.89E-05
ENSG00000204539.3	CDSN	7.450577026	2.120651773	4.38E-07	8.98E-05
ENSG00000180921.6	FAM83H	4.17373789	8.158644584	4.41E-07	9.01E-05
ENSG00000125731.11	SH2D3A	4.212213787	5.388315383	4.44E-07	9.03E-05
ENSG00000134955.10	SLC37A2	4.641561643	6.277706167	4.60E-07	9.34E-05
ENSG00000096696.12	DSP	5.775361309	8.910661394	4.65E-07	9.41E-05
ENSG00000158825.5	CDA	6.340071851	4.610591316	4.75E-07	9.59E-05
ENSG00000274173.1	AL035661.1	6.466838059	0.987493901	4.84E-07	9.72E-05
ENSG00000176387.6	HSD11B2	4.350929992	2.816250386	4.85E-07	9.72E-05
ENSG00000162069.13	BICDL2	5.497701296	1.726622512	5.02E-07	9.99E-05
ENSG00000165474.5	GJB2	5.165991655	3.828041466	5.01E-07	9.99E-05
ENSG00000180537.11	RNF182	-7.635789431	3.895041203	5.04E-07	0.000100001
ENSG00000137975.7	CLCA2	6.832701102	5.884193885	5.49E-07	0.00010861
ENSG00000196209.11	SIRPB2	6.36600478	2.25143266	5.57E-07	0.000109798
ENSG00000115457.8	IGFBP2	7.070734863	6.72150727	5.62E-07	0.000110411
ENSG00000141441.14	GAREM1	3.580755869	4.329544371	5.96E-07	0.000116211
ENSG00000170324.18	FRMPD2	6.041800615	-0.074489316	5.94E-07	0.000116211
ENSG00000169129.13	AFAP1L2	4.499679933	4.369890307	5.99E-07	0.000116519
ENSG00000112378.11	PERP	3.79604311	8.785722606	6.03E-07	0.000116952
ENSG00000168528.10	SERINC2	5.164000819	8.15008609	6.15E-07	0.000118823
ENSG00000111275.11	ALDH2	-4.322652642	3.758970765	6.21E-07	0.000119687
ENSG00000168453.13	HR	5.033329059	5.423439595	6.50E-07	0.000124781
ENSG00000181885.17	CLDN7	6.477582088	5.136724021	6.75E-07	0.000128733
ENSG00000196743.7	GM2A	3.187785458	7.409733135	6.74E-07	0.000128733
ENSG00000145824.11	CXCL14	9.227622834	4.368351493	6.78E-07	0.000128945
ENSG00000147697.7	GSDMC	5.012877686	1.710519864	6.99E-07	0.000132433
ENSG00000163762.5	TM4SF18	-10.80764993	3.061938187	7.01E-07	0.000132433
ENSG00000160179.17	ABCG1	4.46895471	1.762060869	7.47E-07	0.000140786
ENSG00000164932.11	CTHRC1	-8.004729442	1.856243059	7.61E-07	0.00014286
ENSG00000087128.8	TMPRSS11E	7.513726645	0.81471361	7.71E-07	0.000144286
